filename,doi,title,status
01_Squire_Zola_1996_Memory_Systems_PNAS.pdf,10.1073/pnas.93.24.13515,Structure and function of declarative and nondeclarative memory systems,resuelto
02_Doyon_Benali_2005_Motor_Skill_Plasticity.pdf,10.1016/j.conb.2005.03.004,Reorganization and plasticity in the adult brain during learning of motor skills,resuelto
03_Packard_Knowlton_2002_BG_Learning_Memory.pdf,10.1146/annurev.neuro.25.112701.142937,Learning and Memory Functions of the Basal Ganglia,resuelto
04_Doya_2000_Complementary_BG_Cerebellum.pdf,10.1016/s0959-4388(00)00153-7,Complementary roles of basal ganglia and cerebellum in learning and motor control,resuelto
05_Graybiel_Grafton_2015_Striatum_Skills_Habits.pdf,10.1101/cshperspect.a021691,The Striatum: Where Skills and Habits Meet,resuelto
06_Yin_Knowlton_2006_BG_Habit_Formation.pdf,10.1038/nrn1919,The role of the basal ganglia in habit formation,resuelto
07_Ashby_2010_Cortical_BG_Habit_Automaticity.pdf,10.1016/j.tics.2010.02.001,Cortical and basal ganglia contributions to habit learning and automaticity,resuelto
08_Koziol_2014_Cerebellum_Movement_Cognition.pdf,10.1007/s12311-013-0511-x,Consensus Paper: The Cerebellum's Role in Movement and Cognition,resuelto
09_Balleine_ODoherty_2010_GoalDirected_Habitual.pdf,10.1038/npp.2009.131,Human and Rodent Homologies in Action Control: Corticostriatal Determinants of Goal-Directed and Habitual Action,resuelto
10_Cristini_2023_PD_Motor_Consolidation_MetaAnalysis.pdf,10.3233/jpd-230038,Motor Memory Consolidation Deficits in Parkinson's Disease: A Systematic Review with Meta-Analysis,resuelto
A1_Doyon_2003_Corticostriatal_Corticocerebellar.pdf,10.1016/s0028-3932(02)00158-6,Distinct contribution of the cortico-striatal and cortico-cerebellar systems to motor skill learning,resuelto
A2_Tzvi_2014_Corticostriatal_Cerebellar_Network.pdf,10.1016/j.neuroimage.2014.03.004,Delineating the cortico-striatal-cerebellar network in implicit motor sequence learning,resuelto
A3_Nakahara_Doya_Hikosaka_2001_Parallel_BG.pdf,10.1162/089892901750363208,Parallel Cortico-Basal Ganglia Mechanisms for Acquisition and Execution of Visuomotor Sequences,resuelto
A5_Graybiel_1998_BG_Chunking_ActionRepertoires.pdf,10.1006/nlme.1998.3843,The Basal Ganglia and Chunking of Action Repertoires,resuelto
B1_Popa_Ebner_2018_Cerebellum_Predictions_Errors.pdf,10.3389/fncel.2018.00524,"Cerebellum, Predictions and Errors",resuelto
B2_Tanaka_2020_CerebroCerebellum_ForwardModel.pdf,10.3389/fnsys.2020.00019,The Cerebro-Cerebellum as a Locus of Forward Model: A Review,resuelto
B3_Popa_2016_Error_Representations_Cerebellum.pdf,10.1007/s12311-015-0685-5,The Errors of Our Ways: Understanding Error Representations in Cerebellar-Dependent Motor Learning,resuelto
B4_Kakei_2026_Consensus_Cerebellar_Functions.pdf,10.1007/s12311-025-01939-3,Consensus Paper: Models of Cerebellar Functions,resuelto
B5_Jackson_Xu_2023_Cerebellum_Sleep_Memory.pdf,10.3389/fnsys.2023.1154489,Role of cerebellum in sleep-dependent memory processes,resuelto
C1_Graybiel_2008_Habits_Rituals_Brain.pdf,10.1146/annurev.neuro.29.051605.112851,"Habits, Rituals, and the Evaluative Brain",resuelto
C2_Marvel_2019_Motor_WorkingMemory.pdf,10.1016/j.neubiorev.2019.04.017,How the motor system integrates with working memory,resuelto
C3_Ullman_2001_Declarative_Procedural_Model.pdf,10.1038/35094573,A neurocognitive perspective on language: the declarative/procedural model,resuelto
C3b_Ullman_2004_Memory_Circuits_Language.pdf,10.1016/j.cognition.2003.10.008,Contributions of memory circuits to language: the declarative/procedural model,resuelto
D2_Gremel_Lovinger_2017_Corticostriatal_Circuits.pdf,10.1111/gbb.12309,Associative and sensorimotor cortico-basal ganglia circuit roles in effects of abused drugs,resuelto
E2_Panouilleres_2016_PD_Procedural_Learning.pdf,10.1371/journal.pone.0149224,Intact Acquisition and Short-Term Retention of Non-Motor Procedural Learning in Parkinson's Disease,resuelto
E3_Harrington_1990_PD_Motor_vs_Visuoperceptual.pdf,10.1080/01688639008400978,Procedural memory in Parkinson's disease: Impaired motor but not visuoperceptual learning,resuelto
F1_Kim_2004_HD_SRT_fMRI.pdf,10.1016/j.pscychresns.2004.03.002,Functional MRI study of a serial reaction time task in Huntington's disease,resuelto
F1_Walker_Stickgold_2005_Sleep_Motor_Plasticity.pdf,10.1016/j.neuroscience.2005.04.007,Sleep-dependent motor memory plasticity in the human brain,resuelto
F2_Brooks_2007_Striatal_Lesions_Implicit.pdf,10.1016/j.brainres.2007.09.017,"Striatal lesions in the mouse disrupt acquisition and retention, but not implicit learning, in the SILT procedural motor learning task",resuelto
F2_Walker_2003_Consolidation_Reconsolidation.pdf,10.1038/nature01930,Dissociable stages of human memory consolidation and reconsolidation,resuelto
F3_Vien_Doyon_2019_Thalamocortical_Sleep_Spindles.pdf,10.1016/j.neuroscience.2018.12.049,Thalamo-Cortical White Matter Underlies Motor Memory Consolidation via Modulation of Sleep Spindles in Young and Older Adults,resuelto
G2_Nadel_Hardt_2011_Memory_Systems_Update.pdf,10.1038/npp.2010.169,Update on Memory Systems and Processes,resuelto
G3_Budson_2015_Memory_Dysfunction_Review.pdf,10.1212/01.con.0000466656.59413.29,Memory Dysfunction,resuelto
H2_Manto_2018_Cerebellar_Motor_Syndrome.pdf,10.1016/b978-0-444-63956-1.00009-6,Cerebellar motor syndrome from children to the elderly,resuelto
